week_year,DJS US
40-2012,112.08
41-2012,109.54
42-2012,109.85
43-2012,108.16
44-2012,108.61
45-2012,105.86
46-2012,104.09
47-2012,107.4
48-2012,107.39
49-2012,108.29
50-2012,108.46
51-2012,109.07
52-2012,106.86
53-2012,108.44
01-2013,110.93
02-2013,112.09
03-2013,113.68
04-2013,115.56
05-2013,115.1
06-2013,115.96
07-2013,116.51
08-2013,114.45
09-2013,117.21
10-2013,119.38
11-2013,118.93
12-2013,118.98
13-2013,120.3
14-2013,120.12
15-2013,119.6
16-2013,120.5
17-2013,122.96
18-2013,124.05
19-2013,124.82
20-2013,127.71
21-2013,126.73
22-2013,126.43
23-2013,126.55
24-2013,126.3
25-2013,121.43
26-2013,123.95
27-2013,125.67
28-2013,129.03
29-2013,129.73
30-2013,129.22
31-2013,130.17
32-2013,128.85
33-2013,125.13
34-2013,125.5
35-2013,124
36-2013,126.28
37-2013,129.09
38-2013,128.7
39-2013,126.7
40-2013,126.1
41-2013,128.87
42-2013,130.56
43-2013,131.92
44-2013,132.67
45-2013,133.78
46-2013,134.75
47-2013,135.29
48-2013,134.6
49-2013,135.15
50-2013,133.36
51-2013,135.94
52-2013,137.53
53-2013,137.94
01-2014,137.44
02-2014,136.9
03-2014,136.85
04-2014,133.31
05-2014,129.52
06-2014,134.42
07-2014,135.68
08-2014,136.27
09-2014,138.23
10-2014,137.72
11-2014,138.61
12-2014,139.41
13-2014,141.2
14-2014,139.32
15-2014,139.62
16-2014,141.83
17-2014,141.77
18-2014,140.8
19-2014,143.26
20-2014,141.17
21-2014,143.39
22-2014,144.55
23-2014,146.46
24-2014,145.81
25-2014,146.58
26-2014,148.11
27-2014,147.64
28-2014,148.04
29-2014,149.33
30-2014,148.53
31-2014,144.17
32-2014,145.13
33-2014,147.95
34-2014,149.01
35-2014,148.86
36-2014,148.4
37-2014,149.54
38-2014,148.26
39-2014,147.34
40-2014,144.41
41-2014,139.62
42-2014,144.07
43-2014,147.44
44-2014,149.25
45-2014,151.69
46-2014,152.35
47-2014,153.14
48-2014,153.74
49-2014,152.88
50-2014,146.21
51-2014,154.73
52-2014,154.32
53-2014,152.77
01-2015,150.36
02-2015,149.09
03-2015,150.5
04-2015,146.73
05-2015,149.87
06-2015,151.04
07-2015,153.63
08-2015,154.2
09-2015,152.44
10-2015,148.36
11-2015,152.1
12-2015,149.5
13-2015,149.26
14-2015,151.05
15-2015,153.44
16-2015,153.7
17-2015,154.85
18-2015,152.49
19-2015,153.66
20-2015,155.48
21-2015,154.67
22-2015,153.84
23-2015,153.27
24-2015,152.95
25-2015,153.1
26-2015,150.38
27-2015,148.13
28-2015,151.96
29-2015,151.63
30-2015,151.49
31-2015,150.67
32-2015,149.51
33-2015,148.15
34-2015,137.91
35-2015,138.97
36-2015,138.13
37-2015,141.91
38-2015,137.73
39-2015,137.48
40-2015,143.44
41-2015,143.83
42-2015,145.11
43-2015,150.48
44-2015,151.47
45-2015,149.36
46-2015,149.81
47-2015,149.95
48-2015,149.42
49-2015,147.26
50-2015,150.04
51-2015,149.18
52-2015,148.78
53-2015,147.39
01-2016,139.66
02-2016,138.61
03-2016,133.61
04-2016,135.78
05-2016,138
06-2016,131.84
07-2016,138.91
08-2016,140.74
09-2016,143.67
10-2016,143.66
11-2016,147.26
12-2016,147.03
13-2016,148.55
14-2016,147.1
15-2016,150.43
16-2016,152.29
17-2016,150.97
18-2016,149.01
19-2016,149.97
20-2016,148.02
21-2016,151.19
22-2016,152.44
23-2016,153.01
24-2016,150.46
25-2016,153.55
26-2016,152.78
27-2016,152.48
28-2016,157.66
29-2016,157.93
30-2016,157.98
31-2016,157.68
32-2016,158.72
33-2016,158.8
34-2016,158.08
35-2016,157.84
36-2016,158.52
37-2016,155.84
38-2016,158.2
39-2016,156.15
40-2016,157.6
41-2016,155.14
42-2016,155.57
43-2016,156.04
44-2016,153.03
45-2016,159.35
46-2016,160.84
47-2016,161.11
48-2016,160.71
49-2016,164.35
50-2016,166.33
51-2016,165.84
52-2016,165.04
53-2016,164.31
01-2017,167.14
02-2017,166.48
03-2017,165.97
04-2017,167.51
05-2017,167.72
06-2017,168.89
07-2017,171.91
08-2017,173.18
09-2017,174.07
10-2017,173.58
11-2017,173.26
12-2017,170.75
13-2017,171.89
14-2017,171.1
15-2017,169.38
16-2017,170.52
17-2017,173.01
18-2017,173.35
19-2017,172.27
20-2017,171.49
21-2017,174.09
22-2017,175.87
23-2017,176.29
24-2017,176.49
25-2017,177.06
26-2017,176.28
27-2017,176.53
28-2017,178.79
29-2017,179.71
30-2017,179.28
31-2017,180.17
32-2017,177.57
33-2017,176.29
34-2017,177.66
35-2017,179.99
36-2017,179.73
37-2017,183.69
38-2017,184.11
39-2017,184.82
40-2017,187.28
41-2017,187.16
42-2017,189.59
43-2017,189.67
44-2017,189.72
45-2017,189.54
46-2017,189.29
47-2017,190.48
48-2017,194.4
49-2017,194.44
50-2017,196.45
51-2017,197.24
52-2017,196.7
01-2018,201.51
02-2018,204.3
03-2018,206.76
04-2018,212.02
05-2018,203.54
06-2018,193.64
07-2018,201.5
08-2018,202.27
09-2018,198.06
10-2018,204.66
11-2018,202.08
12-2018,190
13-2018,194.64
14-2018,192.19
15-2018,196.25
16-2018,196.49
17-2018,196.78
18-2018,195.2
19-2018,199.84
20-2018,198.79
21-2018,198.98
22-2018,199.74
23-2018,203.38
24-2018,203.22
25-2018,200.44
26-2018,197.56
27-2018,200.61
28-2018,203.78
29-2018,203.68
30-2018,205.29
31-2018,207.12
32-2018,205.91
33-2018,207.3
34-2018,209
35-2018,211
36-2018,208.6
37-2018,211.48
38-2018,214.38
39-2018,212.74
40-2018,210.93
41-2018,202.02
42-2018,202.01
43-2018,193.61
44-2018,198.34
45-2018,204
46-2018,201.9
47-2018,194.55
48-2018,204.75
49-2018,195.33
50-2018,193.14
51-2018,179.93
52-2018,184.87
53-2018,186.54
01-2019,188.73
02-2019,191.08
03-2019,198.28
04-2019,196.06
05-2019,200.49
06-2019,199.56
07-2019,205.24
08-2019,206.91
09-2019,205.63
10-2019,205.35
11-2019,209.53
12-2019,205.41
13-2019,210.67
14-2019,212.77
15-2019,213.7
16-2019,213.3
17-2019,215.51
18-2019,214.69
19-2019,206.65
20-2019,209.65
21-2019,208.96
22-2019,202.96
23-2019,214.27
24-2019,214.33
25-2019,219.11
26-2019,219.89
27-2019,220.83
28-2019,224.07
29-2019,222.2
30-2019,225.97
31-2019,213.15
32-2019,216.43
33-2019,218.95
34-2019,215.28
35-2019,218.68
36-2019,222.11
37-2019,223.12
38-2019,223.13
39-2019,221.84
