week_year,Dow Jones Commodity Index Industrial Metals
40-2012,143.19
41-2012,137.56
42-2012,135.64
43-2012,131.7
44-2012,130.83
45-2012,130.21
46-2012,131.19
47-2012,134.11
48-2012,139.46
49-2012,139.2
50-2012,141.2
51-2012,138.02
52-2012,137.83
53-2012,138.46
01-2013,138.94
02-2013,138.24
03-2013,139.1
04-2013,139.51
05-2013,144.38
06-2013,142.85
07-2013,144.29
08-2013,136.5
09-2013,133.24
10-2013,133.29
11-2013,130.97
12-2013,131.74
13-2013,129.87
14-2013,128.17
15-2013,125.35
16-2013,123.27
17-2013,125.36
18-2013,125.77
19-2013,126.74
20-2013,126.3
21-2013,124.88
22-2013,127.91
23-2013,125.54
24-2013,122.86
25-2013,116.88
26-2013,121.6
27-2013,119.25
28-2013,120.31
29-2013,122.38
30-2013,119.47
31-2013,120.71
32-2013,126.16
33-2013,127.6
34-2013,127.34
35-2013,122.31
36-2013,122.87
37-2013,121.43
38-2013,123.7
39-2013,124.87
40-2013,124.03
41-2013,125.24
42-2013,125.22
43-2013,125.92
44-2013,123.51
45-2013,122.9
46-2013,120.46
47-2013,121.48
48-2013,119.42
49-2013,122.59
50-2013,124.82
51-2013,124.53
52-2013,126.92
53-2013,125.88
01-2014,124.89
02-2014,124.96
03-2014,126.72
04-2014,122.9
05-2014,120.12
06-2014,121.4
07-2014,124.38
08-2014,122.89
09-2014,123.8
10-2014,117.68
11-2014,118.02
12-2014,119.47
13-2014,120.26
14-2014,121.61
15-2014,121.88
16-2014,124.61
17-2014,123.27
18-2014,123.03
19-2014,125.92
20-2014,125.55
21-2014,126.91
22-2014,126.37
23-2014,125.21
24-2014,124.77
25-2014,127.28
26-2014,128.97
27-2014,131.99
28-2014,132.22
29-2014,132.99
30-2014,132.26
31-2014,132.29
32-2014,132.04
33-2014,130.51
34-2014,133.68
35-2014,133.11
36-2014,130.63
37-2014,130.04
38-2014,126.48
39-2014,125.69
40-2014,126.1
41-2014,127.09
42-2014,125.21
43-2014,127.22
44-2014,126.43
45-2014,126.8
46-2014,125.51
47-2014,126.68
48-2014,123.03
49-2014,123.57
50-2014,120.24
51-2014,119.01
52-2014,118.77
53-2014,118.31
01-2015,115.41
02-2015,108.08
03-2015,113.32
04-2015,109.85
05-2015,112.56
06-2015,110
07-2015,110.92
08-2015,110.65
09-2015,110.96
10-2015,108.8
11-2015,107.97
12-2015,113.79
13-2015,112.47
14-2015,112.35
15-2015,113.01
16-2015,112.77
17-2015,117.39
18-2015,121.02
19-2015,120.34
20-2015,115.17
21-2015,112.76
22-2015,112.31
23-2015,113.04
24-2015,108.06
25-2015,107.88
26-2015,107.73
27-2015,103.2
28-2015,105.24
29-2015,101.97
30-2015,101.2
31-2015,98.01
32-2015,97.73
33-2015,94.97
34-2015,92.82
35-2015,96.64
36-2015,99.59
37-2015,99.28
38-2015,94.43
39-2015,96.13
40-2015,96.08
41-2015,98.86
42-2015,95.63
43-2015,95.87
44-2015,94.31
45-2015,92.22
46-2015,87.07
47-2015,86.68
48-2015,87.13
49-2015,87.06
50-2015,87.19
51-2015,89.32
52-2015,89.99
53-2015,89.42
01-2016,85.86
02-2016,84.95
03-2016,85.29
04-2016,87.02
05-2016,89.93
06-2016,85.97
07-2016,88.15
08-2016,89.1
09-2016,93.55
10-2016,92.84
11-2016,94.79
12-2016,92.17
13-2016,91.61
14-2016,88.89
15-2016,92.81
16-2016,96.11
17-2016,96.15
18-2016,93.1
19-2016,90.08
20-2016,89.58
21-2016,90.4
22-2016,90.38
23-2016,90.85
24-2016,90.99
25-2016,94.67
26-2016,96.15
27-2016,94.64
28-2016,99.21
29-2016,99.08
30-2016,97.85
31-2016,97.41
32-2016,98.41
33-2016,98.28
34-2016,95.28
35-2016,95.28
36-2016,95.58
37-2016,95.72
38-2016,98.54
39-2016,99.26
40-2016,98.02
41-2016,97.51
42-2016,95.75
43-2016,99.06
44-2016,102.07
45-2016,110.78
46-2016,108.34
47-2016,113.21
48-2016,113.04
49-2016,112.66
50-2016,113.22
51-2016,108.84
52-2016,106.45
53-2016,107.42
01-2017,108.71
02-2017,115.05
03-2017,113.08
04-2017,113.67
05-2017,113.79
06-2017,118.92
07-2017,117.18
08-2017,116.87
09-2017,116.67
10-2017,113.17
11-2017,116.99
12-2017,115.53
13-2017,116.02
14-2017,115.37
15-2017,112.58
16-2017,111.23
17-2017,112.65
18-2017,110.26
19-2017,109.87
20-2017,112.1
21-2017,111.72
22-2017,110.68
23-2017,111.85
24-2017,109.87
25-2017,112.61
26-2017,115.47
27-2017,114.03
28-2017,116
29-2017,116.12
30-2017,120.34
31-2017,121.14
32-2017,124.34
33-2017,126.87
34-2017,129.01
35-2017,132.97
36-2017,129.35
37-2017,127.01
38-2017,126.91
39-2017,127.02
40-2017,130.14
41-2017,133.69
42-2017,133.68
43-2017,132.95
44-2017,135.5
45-2017,132.68
46-2017,131.5
47-2017,135.13
48-2017,131.8
49-2017,126.88
50-2017,132.48
51-2017,137.49
52-2017,140.79
01-2018,138.53
02-2018,139.07
03-2018,138.81
04-2018,141.22
05-2018,140.2
06-2018,134.69
07-2018,142.85
08-2018,139.8
09-2018,136.57
10-2018,136.65
11-2018,135.13
12-2018,131.29
13-2018,132.03
14-2018,132.78
15-2018,137.12
16-2018,143.25
17-2018,135.9
18-2018,138.06
19-2018,138.33
20-2018,138.22
21-2018,138.45
22-2018,140.28
23-2018,144.68
24-2018,139.12
25-2018,135.84
26-2018,132.9
27-2018,126.64
28-2018,124.4
29-2018,123.01
30-2018,125.47
31-2018,123.7
32-2018,124.44
33-2018,119.13
34-2018,122.95
35-2018,120.89
36-2018,118.82
37-2018,118.74
38-2018,125.09
39-2018,123.83
40-2018,123.98
41-2018,124.44
42-2018,122.76
43-2018,121.55
44-2018,121.75
45-2018,118.42
46-2018,119.97
47-2018,119.11
48-2018,119.7
49-2018,118.96
50-2018,118.13
51-2018,116.21
52-2018,115.25
53-2018,114.9
01-2019,115.45
02-2019,114.86
03-2019,118.28
04-2019,118.39
05-2019,123.33
06-2019,120.57
07-2019,120.68
08-2019,125.52
09-2019,124.86
10-2019,123.82
11-2019,125.25
12-2019,124.03
13-2019,126.38
14-2019,125.89
15-2019,125.59
16-2019,124.42
17-2019,123.16
18-2019,120.52
19-2019,116.43
20-2019,116.8
21-2019,116.61
22-2019,114.1
23-2019,114.32
24-2019,113.83
25-2019,116.19
26-2019,115.97
27-2019,115.31
28-2019,118.47
29-2019,118.94
30-2019,119.38
31-2019,114.49
32-2019,116.16
33-2019,116.93
34-2019,115.05
35-2019,116.99
36-2019,119.99
37-2019,120.13
38-2019,119.19
39-2019,117.91
