week_year,STOXX Europe Industry Neutral ESG EUR
40-2012,99.6
41-2012,97.77
42-2012,99.57
43-2012,98.22
44-2012,99.71
45-2012,98.04
46-2012,95.4
47-2012,99.38
48-2012,100.3
49-2012,101.61
50-2012,101.87
51-2012,102.51
52-2012,101.71
53-2012,102.01
01-2013,104.48
02-2013,104.36
03-2013,105.04
04-2013,105.56
05-2013,103.28
06-2013,103.78
07-2013,104.21
08-2013,104.99
09-2013,104.92
10-2013,107.31
11-2013,107.76
12-2013,106.21
13-2013,106.21
14-2013,104.1
15-2013,105.11
16-2013,103.2
17-2013,107.69
18-2013,108.96
19-2013,110.31
20-2013,112.13
21-2013,110.2
22-2013,108.01
23-2013,106.74
24-2013,106.13
25-2013,99.58
26-2013,104.18
27-2013,105.67
28-2013,107.39
29-2013,108.56
30-2013,108.17
31-2013,110.31
32-2013,110.97
33-2013,110.43
34-2013,110.38
35-2013,109.42
36-2013,110.56
37-2013,113.43
38-2013,113.3
39-2013,112.46
40-2013,112.05
41-2013,113.27
42-2013,115.96
43-2013,116.15
44-2013,116.86
45-2013,117.19
46-2013,117.72
47-2013,117.55
48-2013,117.49
49-2013,114.84
50-2013,113.56
51-2013,117.18
52-2013,118.53
53-2013,118.89
01-2014,119.32
02-2014,120.02
03-2014,121.66
04-2014,117.41
05-2014,114.93
06-2014,119.33
07-2014,121.12
08-2014,122.82
09-2014,122.26
10-2014,120.47
11-2014,119.22
12-2014,119.41
13-2014,122.27
14-2014,121.46
15-2014,118.79
16-2014,122.57
17-2014,123.18
18-2014,122.32
19-2014,124.46
20-2014,123.24
21-2014,125.48
22-2014,125.11
23-2014,127.32
24-2014,126.27
25-2014,126.01
26-2014,125.71
27-2014,123.72
28-2014,123.08
29-2014,124.55
30-2014,124.39
31-2014,120.62
32-2014,119.24
33-2014,121.79
34-2014,124.71
35-2014,124.7
36-2014,125.72
37-2014,125.02
38-2014,124.66
39-2014,125.04
40-2014,120.48
41-2014,117.2
42-2014,117.86
43-2014,119.57
44-2014,120.36
45-2014,123.39
46-2014,123.66
47-2014,126.29
48-2014,126.64
49-2014,123.98
50-2014,119.83
51-2014,125.26
52-2014,124.09
53-2014,124.59
01-2015,121.16
02-2015,123.65
03-2015,130.48
04-2015,134.36
05-2015,135.38
06-2015,135.09
07-2015,138.05
08-2015,140.22
09-2015,141.71
10-2015,143.42
11-2015,144.77
12-2015,144.58
13-2015,144.92
14-2015,147.32
15-2015,150.67
16-2015,148.61
17-2015,144.41
18-2015,141.37
19-2015,143.57
20-2015,147.51
21-2015,148.34
22-2015,143.63
23-2015,141.73
24-2015,139.13
25-2015,144.07
26-2015,140.16
27-2015,135.07
28-2015,144.94
29-2015,145.07
30-2015,142.83
31-2015,146.47
32-2015,139.06
33-2015,138.22
34-2015,126.92
35-2015,128.22
36-2015,131.72
37-2015,130.98
38-2015,125.35
39-2015,125.83
40-2015,130.62
41-2015,128.8
42-2015,131.18
43-2015,135.99
44-2015,137.54
45-2015,136.92
46-2015,137.17
47-2015,137.78
48-2015,138.85
49-2015,131.55
50-2015,130.1
51-2015,132.27
52-2015,132.68
53-2015,131.97
01-2016,124.98
02-2016,122.54
03-2016,118.7
04-2016,120.91
05-2016,118.54
06-2016,109.62
07-2016,118.59
08-2016,117.66
09-2016,122.4
10-2016,120.32
11-2016,122.79
12-2016,120.63
13-2016,121.35
14-2016,118.03
15-2016,123.89
16-2016,126.11
17-2016,125.83
18-2016,119.81
19-2016,119.91
20-2016,120.17
21-2016,125.65
22-2016,124.04
23-2016,122.82
24-2016,115.75
25-2016,124.61
26-2016,118.96
27-2016,116.19
28-2016,121.99
29-2016,122.78
30-2016,122.26
31-2016,121.76
32-2016,124.99
33-2016,123.62
34-2016,123.35
35-2016,123.99
36-2016,125.97
37-2016,122.74
38-2016,125.49
39-2016,123.66
40-2016,123.71
41-2016,121.18
42-2016,124.47
43-2016,123.6
44-2016,119.73
45-2016,122.45
46-2016,123.18
47-2016,123.52
48-2016,123.2
49-2016,127.63
50-2016,130.07
51-2016,130.36
52-2016,130.48
53-2016,130.93
01-2017,132.33
02-2017,132.52
03-2017,131.27
04-2017,132.79
05-2017,131.86
06-2017,132.99
07-2017,133.85
08-2017,133.71
09-2017,135.65
10-2017,134.79
11-2017,136.66
12-2017,136.09
13-2017,137.76
14-2017,137.55
15-2017,137.11
16-2017,136.21
17-2017,139.55
18-2017,142.24
19-2017,142.61
20-2017,141.15
21-2017,140.91
22-2017,141.23
23-2017,140.47
24-2017,139.75
25-2017,139.47
26-2017,136.67
27-2017,136.91
28-2017,139.2
29-2017,136.68
30-2017,135.94
31-2017,137.59
32-2017,133.78
33-2017,134.45
34-2017,134.4
35-2017,135.13
36-2017,134.93
37-2017,136.87
38-2017,137.79
39-2017,139.55
40-2017,139.95
41-2017,140.65
42-2017,140.2
43-2017,141.17
44-2017,142.14
45-2017,139.53
46-2017,137.71
47-2017,138.73
48-2017,137.71
49-2017,139.52
50-2017,139.17
51-2017,139.87
52-2017,139.38
01-2018,142.28
02-2018,142.59
03-2018,143.35
04-2018,143.28
05-2018,138.83
06-2018,131.92
07-2018,136.06
08-2018,136.2
09-2018,131.24
10-2018,135.18
11-2018,135.07
12-2018,130.85
13-2018,132.58
14-2018,133.92
15-2018,135.51
16-2018,136.64
17-2018,137.51
18-2018,138.37
19-2018,140.28
20-2018,141.03
21-2018,139.67
22-2018,138.08
23-2018,137.42
24-2018,138.96
25-2018,137.41
26-2018,135.63
27-2018,136.65
28-2018,137.54
29-2018,137.76
30-2018,139.95
31-2018,138.86
32-2018,137.69
33-2018,135.87
34-2018,136.84
35-2018,136.36
36-2018,133.3
37-2018,134.84
38-2018,137.35
39-2018,136.95
40-2018,134.5
41-2018,128.41
42-2018,129.23
43-2018,126.04
44-2018,130.15
45-2018,130.91
46-2018,128.15
47-2018,126.78
48-2018,128.05
49-2018,123.84
50-2018,124.45
51-2018,120.74
52-2018,120.5
53-2018,120.99
01-2019,122.91
02-2019,124.37
03-2019,127.39
04-2019,126.75
05-2019,128.68
06-2019,129.28
07-2019,132.4
08-2019,133.11
09-2019,134.26
10-2019,133.66
11-2019,136.79
12-2019,133.91
13-2019,137.06
14-2019,138.49
15-2019,138.73
16-2019,139.75
17-2019,139.73
18-2019,138.18
19-2019,133.04
20-2019,134.73
21-2019,134.33
22-2019,132.07
23-2019,134.91
24-2019,134.94
25-2019,136.91
26-2019,138.45
27-2019,139.18
28-2019,138.27
29-2019,138.04
30-2019,139.38
31-2019,131.74
32-2019,132.17
33-2019,133.52
34-2019,132.67
35-2019,136.07
36-2019,137.96
37-2019,139.29
38-2019,139.65
39-2019,140.96
