week_year,STOXX Global ESG Impact USD
40-2012,823.08
41-2012,804.28
42-2012,813.99
43-2012,800.09
44-2012,804.37
45-2012,785.45
46-2012,770.16
47-2012,803.67
48-2012,809.79
49-2012,814.03
50-2012,818.19
51-2012,826.9
52-2012,818.65
53-2012,825.02
01-2013,842.79
02-2013,850.68
03-2013,855.21
04-2013,863.81
05-2013,861.15
06-2013,864.61
07-2013,867.34
08-2013,858.2
09-2013,863.19
10-2013,882.2
11-2013,879.28
12-2013,875.62
13-2013,874.99
14-2013,872.02
15-2013,879
16-2013,875.5
17-2013,902.28
18-2013,906.69
19-2013,916.88
20-2013,931.96
21-2013,915.61
22-2013,907.01
23-2013,906.99
24-2013,910.3
25-2013,861.9
26-2013,886.31
27-2013,894.76
28-2013,920.81
29-2013,932.4
30-2013,925.58
31-2013,937.49
32-2013,934.52
33-2013,922.58
34-2013,922.22
35-2013,907.08
36-2013,926.38
37-2013,946.43
38-2013,952.42
39-2013,941.26
40-2013,936.59
41-2013,952.71
42-2013,975.88
43-2013,984.43
44-2013,980.79
45-2013,982.08
46-2013,995.51
47-2013,995.96
48-2013,994.51
49-2013,992.69
50-2013,979.13
51-2013,1002.46
52-2013,1015.19
53-2013,1017.52
01-2014,1009.25
02-2014,1011.83
03-2014,1014.9
04-2014,985.5
05-2014,958.05
06-2014,999.36
07-2014,1013.83
08-2014,1019.11
09-2014,1024.23
10-2014,1022.11
11-2014,1017.63
12-2014,1015.35
13-2014,1031.32
14-2014,1020.01
15-2014,1009.08
16-2014,1030.81
17-2014,1034.43
18-2014,1031.99
19-2014,1039.92
20-2014,1027.36
21-2014,1045.43
22-2014,1050.16
23-2014,1063.83
24-2014,1057.27
25-2014,1062.9
26-2014,1073.46
27-2014,1066.4
28-2014,1067.61
29-2014,1073.63
30-2014,1069.67
31-2014,1039.17
32-2014,1039.15
33-2014,1060.25
34-2014,1069.59
35-2014,1068.23
36-2014,1060.31
37-2014,1062.46
38-2014,1056.29
39-2014,1045.12
40-2014,1022.36
41-2014,992.03
42-2014,1011.12
43-2014,1031.71
44-2014,1041.8
45-2014,1052.4
46-2014,1060.56
47-2014,1068.13
48-2014,1068.11
49-2014,1059.36
50-2014,1018.57
51-2014,1057.65
52-2014,1054.34
53-2014,1047.43
01-2015,1017.57
02-2015,1021.19
03-2015,1037.7
04-2015,1032.08
05-2015,1048.88
06-2015,1052.58
07-2015,1075.76
08-2015,1085.78
09-2015,1076.96
10-2015,1044.09
11-2015,1068.06
12-2015,1072.62
13-2015,1059.44
14-2015,1080.42
15-2015,1091.51
16-2015,1087.64
17-2015,1098.8
18-2015,1084.02
19-2015,1095.71
20-2015,1103.53
21-2015,1097.37
22-2015,1095.31
23-2015,1086.59
24-2015,1075.6
25-2015,1092.22
26-2015,1067.15
27-2015,1041.15
28-2015,1080.08
29-2015,1080.05
30-2015,1077.1
31-2015,1077.01
32-2015,1060.82
33-2015,1050.32
34-2015,986.65
35-2015,985.74
36-2015,993.9
37-2015,1010.06
38-2015,974.98
39-2015,967.66
40-2015,1009.53
41-2015,1009.92
42-2015,1025.69
43-2015,1055.01
44-2015,1053.22
45-2015,1042.05
46-2015,1040.16
47-2015,1042.91
48-2015,1043.72
49-2015,1028.1
50-2015,1030.49
51-2015,1029.8
52-2015,1034.18
53-2015,1024.8
01-2016,968.2
02-2016,955.68
03-2016,922.91
04-2016,945.69
05-2016,953.05
06-2016,906.71
07-2016,951.2
08-2016,954.27
09-2016,980.74
10-2016,981.14
11-2016,1008.19
12-2016,994.71
13-2016,1011.85
14-2016,994.16
15-2016,1025.51
16-2016,1036.38
17-2016,1022.52
18-2016,999.84
19-2016,1005.02
20-2016,990.66
21-2016,1018.75
22-2016,1016.39
23-2016,1025.27
24-2016,987.66
25-2016,1029.53
26-2016,1004.43
27-2016,998.23
28-2016,1034.86
29-2016,1036.95
30-2016,1038.81
31-2016,1040.18
32-2016,1059.35
33-2016,1059.6
34-2016,1055.49
35-2016,1053.17
36-2016,1063.28
37-2016,1042.28
38-2016,1062.88
39-2016,1050.35
40-2016,1050.86
41-2016,1035.47
42-2016,1042.09
43-2016,1037.04
44-2016,1019.83
45-2016,1036.8
46-2016,1040.44
47-2016,1041.65
48-2016,1038.93
49-2016,1067.49
50-2016,1071.63
51-2016,1074.31
52-2016,1070.59
53-2016,1069.61
01-2017,1087.28
02-2017,1090.74
03-2017,1087.31
04-2017,1100.42
05-2017,1102.12
06-2017,1106.24
07-2017,1121.97
08-2017,1124.93
09-2017,1130.36
10-2017,1130.55
11-2017,1140.62
12-2017,1132.3
13-2017,1137.74
14-2017,1131.34
15-2017,1123.98
16-2017,1128.06
17-2017,1152.37
18-2017,1165.81
19-2017,1164.84
20-2017,1164.82
21-2017,1174.4
22-2017,1188.69
23-2017,1179.73
24-2017,1179.11
25-2017,1180.66
26-2017,1173.68
27-2017,1172.49
28-2017,1196.6
29-2017,1202.58
30-2017,1204.35
31-2017,1212.69
32-2017,1195.7
33-2017,1191.75
34-2017,1199.12
35-2017,1212.01
36-2017,1210.38
37-2017,1226.53
38-2017,1228.63
39-2017,1230.96
40-2017,1240.03
41-2017,1249.51
42-2017,1253.8
43-2017,1255.6
44-2017,1264.16
45-2017,1260.95
46-2017,1253.32
47-2017,1271.12
48-2017,1274.63
49-2017,1275.29
50-2017,1285.55
51-2017,1295.91
52-2017,1297.34
01-2018,1330.74
02-2018,1349.77
03-2018,1362.04
04-2018,1388.35
05-2018,1340.09
06-2018,1265.86
07-2018,1321.68
08-2018,1323.78
09-2018,1294.44
10-2018,1330.5
11-2018,1320.79
12-2018,1256.62
13-2018,1277.95
14-2018,1272.5
15-2018,1296.68
16-2018,1297.15
17-2018,1293.57
18-2018,1290.37
19-2018,1317.89
20-2018,1308.4
21-2018,1303.05
22-2018,1300.49
23-2018,1316.82
24-2018,1312.53
25-2018,1301.54
26-2018,1284.95
27-2018,1300.23
28-2018,1318.36
29-2018,1323.45
30-2018,1331.98
31-2018,1334.57
32-2018,1325.68
33-2018,1322.9
34-2018,1336.83
35-2018,1350.68
36-2018,1320.89
37-2018,1340.54
38-2018,1360.44
39-2018,1355.24
40-2018,1331.48
41-2018,1278.84
42-2018,1276.74
43-2018,1229.7
44-2018,1257.8
45-2018,1273.02
46-2018,1250.78
47-2018,1212.62
48-2018,1256.43
49-2018,1208.64
50-2018,1199.12
51-2018,1133.22
52-2018,1154.58
53-2018,1162.96
01-2019,1185.15
02-2019,1198.13
03-2019,1230.05
04-2019,1221.36
05-2019,1247.53
06-2019,1236.15
07-2019,1266.64
08-2019,1280.51
09-2019,1282.26
10-2019,1273.05
11-2019,1304.13
12-2019,1284.45
13-2019,1310.45
14-2019,1325.24
15-2019,1333.06
16-2019,1337.02
17-2019,1346.25
18-2019,1340.68
19-2019,1287.88
20-2019,1301.13
21-2019,1294.77
22-2019,1260.22
23-2019,1320.44
24-2019,1319.07
25-2019,1348.79
26-2019,1356.33
27-2019,1358.68
28-2019,1374.26
29-2019,1366.51
30-2019,1374.68
31-2019,1300.53
32-2019,1312.68
33-2019,1322.81
34-2019,1304.64
35-2019,1324.52
36-2019,1352.33
37-2019,1361.16
38-2019,1361.28
39-2019,1353.98
